hydro_rum_name,label_abv,hydro_abv,additives_g_l,hydro_source
Damoiseau Blanc 50%,50,50,0,fat rum pirate
Damoiseau Rhum Vieux Millesime 1995,66.9,67,0,fat rum pirate
Damoiseau VO,42,41.9,0,decon
Danica Rum,40,40.5,0,decon
Dark Matter Spiced Rum,40,16,74,fat rum pirate
Dead Man's Fingers,37.5,30,26,fat rum pirate
Delicana Balsamo Aged 10 Years,40,40,0,fat rum pirate
Demerara Rum 1971 Gordon & Macphail,50,46,19,decon
Depaz 84,45,44.6,0,decon
Depaz Grande Reserve XO,45,44.6,0,decon
Diablesse Caribbean Rum,40,40,0,fat rum pirate
Diablesse Clementine Spiced Rum,40,30,35,fat rum pirate
Dictador 12,40,40.7,0,decon
Dictador 20,40,40.9,0,decon
Dictador Best of 1979,41.8,38,15,fat rum pirate
Dictador Solera System Rum Aged 20 Years,40,40,0,fat rum pirate
Dictador XO - Insolent,40,40,0,fat rum pirate
Dictador XO Insolent,40,39.1,0,decon
Dictador XO Perpetual,40,39.3,0,decon
Dillon 75,45,44.4,0,decon
Diplomatico Ambassador,47,41.7,23,decon
DIplomatico Ambassador,47,41.5,24,fat rum pirate
Diplomatico Blanco Reserve,40,38.1,8,decon
Diplomatico Distillery Collection No1 Batch Kettle Rum,47,47,0,fat rum pirate
Diplomatico Distillery Collection No2 Barbet Rum,47,47,0,fat rum pirate
Diplomatico Mantuano,40,38,8,fat rum pirate
Diplomatico Planas,47,46.5,0,fat rum pirate
Diplomatico Reserva,40,37.8,9,decon
Diplomatico Reserva Exclusiva,40,27.7,41,decon
Diplomatico Single Vintage 1997,43,38.1,19,decon
Diplomatico Single Vintage 2000,43,38.1,20,decon
Diplomatico Single Vintage 2001,43,37.5,22,decon
Diplomatio Single Vintage 2004,43,40,12,fat rum pirate
Distillerie de Paris Rhum Galabe 97,43,43,0,fat rum pirate
Doctor Bird Jamaica Rum,50,50,0,fat rum pirate
Domaine De Courcelles Guadeloupe 1972-2003-2005,54,53.2,0,decon
Don Papa 10 Year Old,43,39,16,fat rum pirate
Don Papa No.7,40,35,19,fat rum pirate
Don Q Anejo,40,40,0,fat rum pirate
Don Q Cristal,40,40,0,fat rum pirate
Don Q Double Aged Rum Vermouth Cask Finish,40,40,0,fat rum pirate
Don Q Double Cask Finish Puerto Rican Rum Finished in Sherry Casks,41,41,0,fat rum pirate
Don Q Finished in Sherry Casks,41,41,0,rumshopboy
Don Q Gold,40,40,0,fat rum pirate
Don Q Gran Anejo,40,39.5,0,fat rum pirate
Don Q Gran Añejo Rum,40,40,0,rumshopboy
Don Q Oak Barrel Spiced,45,43,9,fat rum pirate
Don Q Single Barrel 2005,40,40,0,fat rum pirate
Don Q Sweet Vermouth Cask “Finish”,40,40,0,rumshopboy
Doorly's 12 Year Old,40,40,0,fat rum pirate
Doorly's 12y,40,39.9,0,decon
Doorly's 3 Year Old,40,40,0,fat rum pirate
Doorly's 5 Year Old,40,40,0,fat rum pirate
Doorly's 6y,40,39.8,0,decon
Doorly's Aged 8 Years,40,40,0,fat rum pirate
Doorly's Fine Old Barbados Rum Aged 14 Years,48,48,0,fat rum pirate
Doorly's XO,40,40,0,fat rum pirate
Dos Maderas 5 + 5,40,30,35,fat rum pirate
Dos Maderas Luxus,40,29.9,35,decon
Dos Maderas PX 5+5,40,29.7,36,decon
Duncan Taylor Guyana Uitvlugt 1998 Aged 16 Years,52.7,52.5,0,fat rum pirate
Duncan Taylor Jamaica Long Pond Distillery 2000 Aged 15 Years,51.9,52,0,fat rum pirate
Duncan Taylor St Lucia Rum 11 Year Old (Cask 5),52.6,52,0,fat rum pirate
Dunderhead Rum,42,38.5,14,fat rum pirate
E.S.A.FIELD,43,41.7,0,decon
East London Liquor Co. Ltd Demerara Rum,40,40,0,fat rum pirate
Edward Gunpowder Spiced Rum,46,46,0,decon
El Dorado “Rare” Collection Enmore 1993,56.5,56.5,0,rumshopboy
El Dorado “Rare” Collection Port Mourant 1999,61.4,61.4,0,rumshopboy
El Dorado “Rare” Collection Versailles 2002,63,61,8,rumshopboy
El Dorado 12,40,29.7,36,decon
El Dorado 12 Year Old Finest Demera Rum,40,28.5,39,fat rum pirate
El Dorado 12yo,40,30,35,rumshopboy
El Dorado 15,43,33.4,37,decon
El Dorado 15 Year Old Finest Demera Rum,43,35,31,fat rum pirate
El Dorado 15yo (Special Reserve),43,33.5,36.5,rumshopboy
El Dorado 15yo MADEIRA DRY Finish,43,40.5,10,rumshopboy
El Dorado 15yo MADEIRA SWEET Finish,43,40.7,10,rumshopboy
El Dorado 15yo RED WINE Finish,43,41,8,rumshopboy
El Dorado 15yo RUBY PORT Finish,43,40.5,10,rumshopboy
El Dorado 15yo SAUTERNES Finish,43,42,4,rumshopboy
El Dorado 15yo WHITE PORT Finish,43,40.6,10,rumshopboy
El Dorado 21,43,38.8,16,decon
El Dorado 21 Year Old Finest Demera Rum,43,37.5,22,fat rum pirate
El Dorado 21yo,43,34.5,33,rumshopboy
El Dorado 25 1980,43,28.6,51,decon
El Dorado 25 1986,43,32.8,39,decon
El Dorado 25 1988,43,30,47,decon
El Dorado 3 Year Cask Aged Rum,40,39.5,0,fat rum pirate
El Dorado 5,40,37,12,decon
El Dorado 8,40,35.8,15,decon
El Dorado 8 Years Cask Aged Demerara Rum,40,38,8,fat rum pirate
El Dorado Cask Aged 5 Years,40,38,8,fat rum pirate
El Dorado EHP (Single Barrel),40,40,0,rumshopboy
El Dorado Enmore (Ruby Port) 2003 15yo,62.1,59,17,rumshopboy
El Dorado Enmore (Sauternes) 2003 15yo,62.3,58,22,rumshopboy
El Dorado Enmore 1993 (EHP) - Rare Collection,56.5,56.5,0,fat rum pirate
El Dorado Enmore 2006 12yo,40,38,8,rumshopboy
El Dorado ICBU (Single Barrel),40,38,8,rumshopboy
El Dorado Original Dark Superior Demerara Rum,37.5,37.5,0,fat rum pirate
El Dorado PM (Single Barrel),40,40,0,rumshopboy
El Dorado Port Mourant 1999 (PM) Rare Collection,61.4,61.5,0,fat rum pirate
El Dorado Rare Collection Albion 2004,60.1,60,0,fat rum pirate
El Dorado Rare Collection Enmore 1993,56.5,55.7,0,decon
El Dorado Rare Collection Enmore 1996,57.2,55.7,8,decon
El Dorado Rare Collection Port Mourant 1997,57.9,57,0,decon
El Dorado Rare Collection Port Mourant 1999,61.4,61,0,decon
El Dorado Rare Collection Skeldon 2000,58.3,58.5,0,fat rum pirate
El Dorado Rare Collection Versailles 2002,63,61,11,decon
El Dorado Single Barrel EHP,40,40,0,decon
El Dorado Single Barrel ICBU,40,39,0,decon
El Dorado Single Barrel PM,40,40,0,decon
El Dorado Spiced,37.5,31.1,22,decon
El Dorado Spiced Rum - Subtly Spiced,37.5,36,6,fat rum pirate
El Dorado Superior White Demerara Rum,37.5,37,0,fat rum pirate
El Dorado Versailles 2002 (VSG) Rare Collection,63,61.5,8,fat rum pirate
El Ron de Artesano Panama Ruby Port Cask Finish,40.4,40.5,0,fat rum pirate
El Ron del Artesano Panama Peated Cask Finish,42,42,0,fat rum pirate
Elements 8 Barrel Infused Criollo Cacao Rum,40,24,53,fat rum pirate
Elements 8 Barrel Infused Exotic Spices Rum,40,28,41,fat rum pirate
Elements 8 Gold Rum,40,40,0,fat rum pirate
Elements Eight Exotic Spices,40,28,41,fat rum pirate
Elements Eight Platinum,40,40,0,fat rum pirate
Elements Eight Vendome,40,40,0,fat rum pirate
English Harbour 1981 25 Year Old,40,37,12,fat rum pirate
English Harbour Aged 5 Years,40,36,15,fat rum pirate
English Harbour Rum 1981,40,37,12,decon
English Harbour Small batch Cask Finish Port Cask,46,45,0,fat rum pirate
English Spirit Distillery - Old Salt Rum,42,40.5,6,decon
English Spirit Distillery Old Salt Rum,42,41.5,0,rumshopboy
English Spirit Distillery St. Piran’s,42,42,0,rumshopboy
Excellence Rhum Barbados Foursquare 2006- 2017 11 Years Aged,62.8,62.5,0,fat rum pirate
FAIR 10 Year Old Rum,40,40,0,fat rum pirate
Fair 11 Year Old Rum,50.7,51,0,rumshopboy
Flor de Caña 25,40,40,0,rumshopboy
Flor de Cana 5 Anejo Clasico,40,40,0,fat rum pirate
Flor de Cana 7 Year Old (prior to bottle change to NAS),40,40,0,fat rum pirate
Flor de Cana Extra Seco 4,40,40,0,fat rum pirate
Flor de Cana Gran Reserva 7,40,40,0,fat rum pirate
Fortuna 8,40,34.9,19,decon
Four Bells Finest Old Navy Rum (1970s),42.9,42.5,0,fat rum pirate
Foursquare 1985 Distilled,43,43,0,rumshopboy
Foursquare ECS I 1998,40,40,0,rumshopboy
Foursquare ECS III 2004,59,59,0,rumshopboy
Foursquare ECS series 2005,59,58.9,0,decon
Foursquare ECS series Port Cask Finish,40,39.6,0,decon
Foursquare ECS series PREMISE,46,46.1,0,decon
Foursquare ECS series Zinfandel,43,42.9,0,decon
Foursquare ECS V Criterion,56,56,0,rumshopboy
Foursquare ECS VI 2005,59,59,0,rumshopboy
Foursquare ECS VII Dominus,56,56,0,rumshopboy
Foursquare ECS VIII Premise,46,46,0,rumshopboy
Foursquare Plenipotenziario,60,60,0,rumshopboy
Foursquare Port Cask Finish,40,40,0,fat rum pirate
Foursquare Principia,62,62,0,fat rum pirate
Foursquare Rum Distillery - Criterion,56,55.5,0,fat rum pirate
Foursquare Rum Distillery - Triptych,56,56,0,fat rum pirate
Foursquare Rum Distillery 2005,59,59,0,fat rum pirate
Foursquare Rum Distillery 2007,59,59,0,fat rum pirate
Foursquare Rum Distillery Dominus,56,56,0,fat rum pirate
Foursquare Rum Distillery Empery,56,56,0,fat rum pirate
Foursquare Rum Distillery Hereditas,59,59,0,fat rum pirate
Foursquare Rum Distillery Nobiliary,62,62,0,fat rum pirate
Foursquare Rum Distillery Patrimonio,62,62,0,fat rum pirate
Foursquare Rum Distillery Premise,46,46,0,fat rum pirate
Foursquare Rum Distillery Sagacity,48,48,0,fat rum pirate
Foursquare Rum Sixty Six Cask Strength,59,59,0,rumshopboy
Foursquare Triptych,56,56,0,rumshopboy
Foursquare Veritas,47,47,0,fat rum pirate
Foursquare Zinfandel Cask Blend,43,42.5,0,fat rum pirate
Glorious Revolution Rum (Batch no. 2 Bottle no 23),40,40,0,fat rum pirate
Gold of Mauritius,40,31.6,30,decon
Gosling's Black Seal,40,36,16,fat rum pirate
Gosling's Black Seal Overproof 151,75.5,75,0,fat rum pirate
Gosling's Gold Rum,40,38,8,fat rum pirate
Gosling's Old Rum Grand Reserve,40,36,15,fat rum pirate
Habitation Saint Etienne - Black Sheriff,40,40,0,fat rum pirate
Habitation Velier Forsyths WP 2005,57.8,58,0,fat rum pirate
Habitation Velier Foursquare 2013,64,64,0,fat rum pirate
Habitation Velier Foursquare 2015 (unreleased press sample),59,59,0,fat rum pirate
Habitation Velier Hampden HLCF 2010,68.5,68,0,fat rum pirate
Habitation Velier HLCF/LROK LMDW Anniversary 2010,60,60,0,fat rum pirate
Habitation Velier Last Ward 2007,59,59,0,fat rum pirate
Habitation Velier Worthy Park 2007 WPL,59,59,0,fat rum pirate
Hamilton 86 Ministry of Rum Collection Demerara River,43,43,0,fat rum pirate
Hamilton Ministry of Rum Collection Jamaica Gold,46.1,46,0,fat rum pirate
Hampden Great House Distillery Edition,59,59,0,fat rum pirate
Hattiers Premium Reserve Rum,40,40,0,fat rum pirate
Havana Aguardente de Cana,47,47,0,fat rum pirate
Havana Anisio Santiago Aguardente de Cana,47,47,0,fat rum pirate
Havana Club 15,40,38.1,8,decon
Havana Club 15yo,40,40,0,rumshopboy
Havana Club 3,40,39.5,0,decon
Havana Club Anejo 15 Anos,40,38,8,fat rum pirate
Havana Club Anejo 3 Anos,40,38,8,fat rum pirate
Havana Club Anejo 7 Anos,40,40,0,fat rum pirate
Havana Club Anejo Especial (New Formula),40,35.5,17,fat rum pirate
Havana Club Edicion A,40,40,0,rumshopboy
Havana Club Edicion B,40,40,0,rumshopboy
Havana Club Especial,40,34,22,decon
