hydro_rum_name,label_abv,hydro_abv,additives_g_l,hydro_source,name,company,country,ratings,score,type,rum_url,img_url,br_score,id,itemId,itemNumber,company_name,name2,price,volume,pricePerLiter,salesStart,packaging,seal,origin,countryOfOrigin,producer,supplier,vintage,alcoholByVolume,assortment,organic,kosher,base,price_per_liter_usd
HSE 2005 Sherry Finish (PX) btl.2013,46,45.6,0,decon,HSE 2005 Sherry Pedro Ximenez Finish,HSE,Martinique,6,7,Aged,/brands/2367-hse-2005-sherry-pedro-ximenez-finish,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/2367/small_HSE_2005-Sherry-Pedro-Ximenez-Finish_rum_400px.png,5.550134369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSE Black Sheriff,40,39.5,0,decon,HSE Black Sheriff,HSE,Martinique,35,6.7,Aged,/brands/1687-hse-black-sheriff,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1687/small_HSE_Black_Sheriff_rum.png,6.232535732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSE Eleve Sous Bois,42,42,0,fat rum pirate,HSE Eleve sous bois,HSE,Martinique,4,6.5,Gold,/brands/1120-hse-eleve-sous-bois,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1120/small_HSE_Eleve_sous_bois_rum.png,5.228377985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSE Extra Vieux XO,43,42.2,0,decon,HSE 2003 XO,HSE,Martinique,1,6,Aged,/brands/6913-hse-2003-xo,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.875512546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSE Rhum Blanc,50,49.5,0,decon,HSE Blanc,HSE,Martinique,31,6.6,Light,/brands/1118-hse-blanc,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1118/small_HSE_Blanc_rum.png,6.114844913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isautier 15 ans,40,39.3,0,decon,Isautier 15-Year,Isautier,Reunion,0,0,Agricole,/brands/457-isautier-15-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/457/small_Isautier_5-Year_rum_400px.png,4.77536295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jah45 Jamaican Rum - 18ct Carat Gold,40,40,0,fat rum pirate,Jah45 Gold,Unknown,United Kingdom,1,6,Gold,/brands/6238-jah45-gold,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6238/small_jah45-gold.png,4.875512546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamaica Cove Black Ginger Rum,40,39.5,0,fat rum pirate,Jamaica Cove Black Ginger,Jamaica,United Kingdom,1,3,Spiced,/brands/7323-jamaica-cove-black-ginger,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.63017554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamaica Cove Black Pineapple Rum,40,36,16,fat rum pirate,Jamaica Cove Black Pineapple,Jamaica,United Kingdom,7,6.7,Flavored,/brands/6245-jamaica-cove-black-pineapple,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6245/small_jamaica-cove-black-pineapple.png,5.514467725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jefferson's 1785 Extra Fine Dark Rum,40,40,0,fat rum pirate,Jefferson's Dark 1785,Unknown,United Kingdom,2,4.5,Gold,/brands/5929-jefferson-s-dark-1785,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5929/small_jefferson-dark-1785.png,4.733729849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaniche XO,40,33.5,24,decon,Kaniche XO,Kaniche,Barbados,145,7.8,Aged,/brands/1344-kaniche-xo,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1344/small_Kaniche_XO_rum.png,7.582619996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Karukera Gold,40,40,0,fat rum pirate,Karukera Gold,Karukera,Guadeloupe,5,3,Aged,/brands/1352-karukera-gold,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1352/small_karukera-gold.png,4.228359488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Karukera Silver,40,40,0,fat rum pirate,Karukera Silver,Karukera,Guadeloupe,1,2,Agricole,/brands/6850-karukera-silver,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.548396538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kill Devil Barbados 14 Aged 14 Years (Foursquare),46,46,0,fat rum pirate,Kill Devil (Hunter Laing) 2001 Barbados 14-Year,Kill Devil,United Kingdom,6,8,Aged,/brands/3800-kill-devil-hunter-laing-2001-barbados-14-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/3800/small_Kill_Devil__Hunter_Laing__Barbados_2001_14-Year_rum_400px.png,5.898403054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kill Devil Barbados 9 Year Old,46,46,0,fat rum pirate,Kill Devil (Hunter Laing) 2007 Barbados 9-Year,Kill Devil,United Kingdom,3,7.7,Aged,/brands/6093-kill-devil-hunter-laing-2007-barbados-9-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6093/small_kill-devil-hunter-laing-2007-barbados-9-year.png,5.392024685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kill Devil Cuba 17 Year Old (1999),46,46,0,fat rum pirate,Kill Devil (Hunter Laing) 1999 Guyana 17-Year,Kill Devil,United Kingdom,1,8,Aged,/brands/5220-kill-devil-hunter-laing-1999-guyana-17-year,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,5.03907055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kill Devil Guatemala 8 Years (Darsa Distillery),46,46,0,fat rum pirate,Kill Devil (Hunter Laing) Guatemala 8-Year,Kill Devil,United Kingdom,3,6.7,Aged,/brands/3732-kill-devil-hunter-laing-guatemala-8-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/3732/small_kill-devil-hunter-laing-guatemala-8-year.png,5.181173997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kill Devil Hampden 16yo,46,46,0,rumshopboy,Kill Devil (Hunter Laing) 1998 Jamaica 16-Year,Kill Devil,United Kingdom,2,5.5,Aged,/brands/3785-kill-devil-hunter-laing-1998-jamaica-16-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/3785/small_Kill_Devil__Hunter_Laing__Jamaica_1998_16-Year_rum_400px.png,4.884923396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kill Devil Jamaica (Long Pond) 15 Year Old,46,46,0,fat rum pirate,Kill Devil (Hunter Laing) Jamaica 15-Year,Kill Devil,United Kingdom,3,5.7,Aged,/brands/3731-kill-devil-hunter-laing-jamaica-15-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/3731/small_Kill_Devil__Hunter_Laing__Jamaica_15-Year_rum_400px.png,4.970323308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kill Devil Jamaica 10 Years (Worthy Park),46,46,0,fat rum pirate,Kill Devil (Hunter Laing) 2005 Jamaica 10-Year,Kill Devil,United Kingdom,6,8.2,Aged,/brands/4329-kill-devil-hunter-laing-2005-jamaica-10-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/4329/small_kill-devil-hunter-laing-2005-jamaica-10-year.png,5.968056791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kill Devil Trinidad 2003,63.1,63.5,0,fat rum pirate,Kill Devil (Hunter Laing) 2003 Trinidad 13-Year,Kill Devil,United Kingdom,1,8,Aged,/brands/11230-kill-devil-hunter-laing-2003-trinidad-13-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/11230/small_kill-devil-hunter-laing-2003-trinidad-13-year.png,5.03907055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kintra Foursquare 14Y,57.7,NA,0,rumshopboy,Kintra 2002 Barbados 14-Year,Unknown,Netherlands,2,6,Aged,/brands/5276-kintra-2002-barbados-14-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5276/small_kintra-2002-barbados-14-year.png,4.960520169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kintra Worthy Park 10y,61.8,62,0,rumshopboy,Kintra 2006 Jamaica 10-Year,Unknown,Netherlands,1,8,Aged,/brands/5275-kintra-2006-jamaica-10-year,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,5.03907055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirk and Sweeney 12 Year,40,40,0,fat rum pirate,Kirk and Sweeney 12-Year,Kirk and Sweeney,Dominican Republic,323,7.7,Aged,/brands/1178-kirk-and-sweeney-12-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1178/small_Kirk_and_Sweeney_12-year_rum.png,7.60174957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kraken Spiced Rum,40,33,26,decon,Kraken Black Spiced,Kraken,Trinidad and Tobago,1270,6.2,Spiced,/brands/482-kraken-black-spiced,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/482/small_Kraken_Black_Spiced_rum_400px.png,6.187515154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Favorite Coeur de Rhum,40,39.3,0,decon,La Favorite Blanc Coeur de Canne,La Favorite,Martinique,21,6.2,Agricole,/brands/487-la-favorite-blanc-coeur-de-canne,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/487/small_La_Favorite_Blanc_Coeur_de_Canne_rum.png,5.703664607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Hechicera,40,40,0,fat rum pirate,La Hechicera Extra Anejo,La Hechicera,Colombia,171,7.7,Aged,/brands/1464-la-hechicera-extra-anejo,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1464/small_la_hechicera_extra_anejo_rum_orginal_400px.png,7.5197969670000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Mauny Extra Rubis,42,40.6,0,decon,La Mauny Extra Ruby,La Mauny,Martinique,6,6.3,Aged,/brands/494-la-mauny-extra-ruby,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/494/small_La_Mauny_Extra_Ruby_rum_b.png,5.30634629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Mauny Extra Saphir,40,38.8,0,decon,La Mauny Extra Saphir,La Mauny,Martinique,3,6.3,Aged,/brands/495-la-mauny-extra-saphir,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/495/small_La_Mauny_Extra_Saphir_rum_b.png,5.096833721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Mauny Rhum vieux 1995,42,41.1,0,decon,La Mauny 1995,La Mauny,Martinique,4,7.8,Aged,/brands/490-la-mauny-1995,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/490/small_La_Mauny_1995_rum.png,5.569852468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Mauny VO,40,40,0,fat rum pirate,La Mauny VO,La Mauny,Martinique,1,4,Aged,/brands/5058-la-mauny-vo,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5058/small_La_Mauny_VO_rum_400px.png,4.711954542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Mauny X.O.,40,39.7,0,decon,La Mauny XO,La Mauny,Martinique,22,7.1,Aged,/brands/498-la-mauny-xo,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/498/small_La_Mauny_Vieux_XO_rum.png,6.314483431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamb's Navy Rum,40,39,0,fat rum pirate,Lamb's Navy,Lamb's,Canada,111,5.1,Dark,/brands/500-lamb-s-navy,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/500/small_Lamb_s__Navy_rum.png,5.070178292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leatherback Rum Barrel Strength Special Reserve,57,57,0,fat rum pirate,Leatherback Special Reserve,Unknown,Canada,11,5.1,Aged,/brands/3675-leatherback-special-reserve,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/3675/small_leatherback-special-reserve.png,4.936015957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Legendario Elixir de Cuba,34,NA,NA,fat rum pirate,Legendario Elixir de Cuba 7-Year,Legendario,Cuba,280,6.6,Gold,/brands/1087-legendario-elixir-de-cuba-7-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1087/small_Legendario_Elixir_de_Cuba_rum.png,6.529652501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Legendario Ron Dorado,38,38,0,fat rum pirate,Legendario Ron Dorado,Legendario,Cuba,19,5.7,Gold,/brands/4148-legendario-ron-dorado,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/4148/small_legendario-ron-dorado.png,5.356547902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Hart 151,75.5,73.5,10,fat rum pirate,Lemon Hart 151,Lemon Hart,Guyana,56,7.8,Overproof,/brands/295-lemon-hart-151,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/295/small_Demerara_Lemon_Hart_151_rum.png,7.294841125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Hart Demerara Rum,40,35.6,17,fat rum pirate,Lemon Hart Premium,Lemon Hart,Guyana,20,6.6,Gold,/brands/296-lemon-hart-premium,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/296/small_Demerara_Lemon_Hart_premium_rum.png,5.943950438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liverpool Rum Aged 16 Years,43,43,0,fat rum pirate,Liverpool 16-Year,Unknown,United Kingdom,6,5.7,Aged,/brands/6047-liverpool-16-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6047/small_liverpool-16-year.png,5.097385079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lost Spirits Distillery Navy Style,55,54,0,decon,Lost Spirits Navy Style 61,Lost Spirits,United States,5,7.2,Gold,/brands/4301-lost-spirits-navy-style-61,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/4301/small_lost-spirits-navy-style-61.png,5.522412933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maburama - Pellegrini SPA Hampden Aged 13 Years,46,46,0,fat rum pirate,Mabaruma 2000 Hampden 13-Year,Unknown,Italy,1,8,Aged,/brands/5174-mabaruma-2000-hampden-13-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5174/small_mabaruma-hampden-2000-13-year.png,5.03907055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mainbrace Premium Spliced Rum,40,40,0,fat rum pirate,Mainbrace 2019 Premium Spliced,Unknown,United Kingdom,0,0,Dark,/brands/9446-mainbrace-2019-premium-spliced,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marks and Spencer Gingerbread Rum,37.5,30.5,24,fat rum pirate,Marks & Spencer Gingerbread,Unknown,United Kingdom,4,2.8,Flavored,/brands/6510-marks-spencer-gingerbread,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.256489071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matugga Golden Rum,42,32,37,fat rum pirate,Matugga Golden,Matugga,United Kingdom,17,5,Gold,/brands/2172-matugga-golden,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/2172/small_Matugga_Golden_rum_400px.png,4.91064775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matugga Spiced Rum,42,29,47,fat rum pirate,Matugga Spiced,Matugga,United Kingdom,5,8,Spiced,/brands/2173-matugga-spiced,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/2173/small_Matugga_Spiced_rum_400px.png,5.768899303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matusalem 15 Year Old Solero Blender,40,40,0,fat rum pirate,Matusalem Gran Reserva 15-Year,Matusalem,Dominican Republic,530,6.3,Aged,/brands/532-matusalem-gran-reserva-15-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/532/small_Matusalem_Gran_Reserva_Solera_15_rum.png,6.268370556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mekhong Thai Spirit,35,31,13,fat rum pirate,Mekhong Gold,Mekhong,Thailand,10,4.2,Flavored,/brands/2125-mekhong-gold,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/2125/small_Mekhong_Gold_rum_400px.png,4.504324303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mezan Guyana 2005,40,40,0,fat rum pirate,Mezan 2005 Guyana,Mezan,Caribbean,18,7.1,Aged,/brands/3661-mezan-2005-guyana,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/3661/small_Mezan_Guyana_2005_rum_400px.png,6.206981791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mezan Guyana Rum 1998 (Uitvluigt),40,40,0,fat rum pirate,Mezan 1998 Guyana,Mezan,Caribbean,4,6.5,Aged,/brands/1699-mezan-1998-guyana,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1699/small_mezan_guyana_1998_rum_400px_b.png,5.228377985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mezan Jamaica 2003 (Monymusk),40,40,0,fat rum pirate,Mezan 2003 Jamaica,Mezan,Caribbean,4,5.8,Aged,/brands/1704-mezan-2003-jamaica,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1704/small_mezan_jamaica_2003_rum_400px_b.png,5.044507109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mezan Jamaica XO,40,40,0,fat rum pirate,Mezan Jamaica Barrique XO,Mezan,Caribbean,0,0,Aged,/brands/8684-mezan-jamaica-barrique-xo,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mezan Panama 1995,40,40,0,fat rum pirate,Mezan 1995 Panama,Mezan,Caribbean,2,7.5,Aged,/brands/1702-mezan-1995-panama,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1702/small_mezan_panama_1995_rum_400px_b.png,5.187310489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mezan Panama 1999 Rum,42.2,42,0,fat rum pirate,Mezan 1999 Panama,Mezan,Caribbean,4,7.8,Aged,/brands/1701-mezan-1999-panama,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1701/small_mezan_panama_1999_rum_400px_b.png,5.569852468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mezan Trinidad 1999 (Caroni),40,40,0,fat rum pirate,Mezan 1999 Trinidad,Mezan,Caribbean,10,7.5,Aged,/brands/1697-mezan-1999-trinidad,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1697/small_mezan_trinidad_1999_rum_400px_b.png,6.058869198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mezan Trinidad 2007,46,46,0,rumshopboy,Mezan 2007 Trinidad,Mezan,Caribbean,2,8,Aged,/brands/5335-mezan-2007-trinidad,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5335/small_mezan-trinidad-2007.png,5.262907262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mhoba Select Agricole Aged 2 1/2yo,43,43,0,rumshopboy,Mhoba Select Reserve French Cask,Unknown,South Africa,2,9,Agricole,/brands/8820-mhoba-select-reserve-french-cask,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/8820/small_mhoba-select-reserve-french-cask.png,5.414100809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mombacho Ron 15 year,43,40.5,10,decon,Mombacho 15-Year,Mombacho,Nicaragua,8,7.6,Aged,/brands/1873-mombacho-15-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1873/small_Mombacho_15-Year_rum_400px.png,5.950576438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monymusk White Overproof,63,63,0,fat rum pirate,Monymusk Platinum White,Unknown,Jamaica,0,0,Light,/brands/8740-monymusk-platinum-white,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mount Gay 1703,43,42.9,0,decon,Mount Gay 1703 Master Select,Mount Gay,Barbados,45,8.1,Aged,/brands/4293-mount-gay-1703-master-select,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/4293/small_Mount_Gay_Black_Barrel_rum_400px.png,7.436109557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mount Gay 1703 (Original),43,43,0,rumshopboy,Mount Gay 1703 Old Cask,Mount Gay,Barbados,114,7.9,Aged,/brands/561-mount-gay-1703-old-cask,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/561/small_Mount_Gay_1703_Old_Cask_rum_b.png,7.619841839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mount Gay Black Barrel,43,43,0,fat rum pirate,Mount Gay Black Barrel,Mount Gay,Barbados,331,6.8,Dark,/brands/1217-mount-gay-black-barrel,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1217/small_Mount_Gay_Black_Barrel_rum.png,6.733574175,8700901,926788,87009,Mount Gay,Black Barrel,479,700,684.29,2015-02-02,Flaska,NA,NA,Barbados,Mount Gay,Nigab,NA,43.00%,BS,FALSE,FALSE,NA,75.2719
Mount Gay Eclipse (Barbados),43,43,0,fat rum pirate,Mount Gay Eclipse,Mount Gay,Barbados,328,6.4,Gold,/brands/563-mount-gay-eclipse,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/563/small_Mount_Gay_Eclipse_rum.png,6.346226293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
