hydro_rum_name,label_abv,hydro_abv,additives_g_l,hydro_source,name,company,country,ratings,score,type,rum_url,img_url,br_score,id,itemId,itemNumber,company_name,name2,price,volume,pricePerLiter,salesStart,packaging,seal,origin,countryOfOrigin,producer,supplier,vintage,alcoholByVolume,assortment,organic,kosher,base,price_per_liter_usd
NA,NA,NA,NA,NA,Ron Rico Coconut,Unknown,Costa Rica,1,2,Flavored,/brands/6540-ron-rico-coconut,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.548396538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Rico Lime,Unknown,Costa Rica,1,2,Flavored,/brands/6542-ron-rico-lime,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.548396538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Rico Pineapple,Unknown,Costa Rica,1,2,Flavored,/brands/6541-ron-rico-pineapple,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.548396538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Rio Gold,Unknown,United States,1,3,Gold,/brands/8919-ron-rio-gold,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/8919/small_ron-rio-gold.png,4.63017554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Rio Virgin Islands Silver,Unknown,United States,1,2,Light,/brands/8918-ron-rio-virgin-islands-silver,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/8918/small_ron-rio-virgin-islands-silver.png,4.548396538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Santaf̩ Anejo 4-Year,Unknown,Colombia,2,3,Gold,/brands/836-ron-santafe-anejo-4-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/836/small_Ron_Santaf__Anejo_4-Year_rum.png,4.506939529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Santaf̩ Reserva Exclusiva 8-Year,Unknown,Colombia,2,7.5,Aged,/brands/837-ron-santafe-reserva-exclusiva-8-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/837/small_Ron_santaf__reserva_exclusiva_8_year_rum.png,5.187310489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Tres Loco De Vinos,Unknown,Denmark,6,9.5,Aged,/brands/6290-ron-tres-loco-de-vinos,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6290/small_ron-tres-loco-de-vinos.png,6.420806081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Valdeflores 2011 Valdeflores 3 A̱os 3-Year,Unknown,Mexico,1,8,Aged,/brands/11174-ron-valdeflores-2011-valdeflores-3-anos-3-year,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,5.03907055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Valdeflores 2011 Valdeflores Blanco 1-Year,Unknown,Mexico,1,8,Light,/brands/11173-ron-valdeflores-2011-valdeflores-blanco-1-year,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,5.03907055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
