"","id","itemId","itemNumber","name","name2","price","volume","pricePerLiter","salesStart","packaging","seal","origin","countryOfOrigin","producer","supplier","vintage","alcoholByVolume","assortment","organic","kosher","base","price_per_liter_use"
"171","8705301","21906387","87053","Neisson","Le Rhum Bio",796,700,1137.14,"2019-04-01","Flaska","","Martinique","Frankrike","LMDW / Neisson Distillery","Clydesdale AB","","52.50%","BS",TRUE,FALSE,"",125.0854
"172","8249001","21918476","82490","Papa's Pilar","Blonde Rum 7",474,700,677.14,"2019-04-01","Flaska","","","USA","Hemingway Rum Company","House of Liquids","","42.00%","BS",FALSE,FALSE,"",74.4854
"173","8333001","21918478","83330","Papa's Pilar","Dark Rum 24",590,700,842.86,"2019-04-01","Flaska","","","USA","Hemingway Rum Company","House of Liquids","","43.00%","BS",FALSE,FALSE,"",92.7146
"174","8344901","21918485","83449","Papa's Pilar","Dark Rum Sherry Cask Finish",647,700,924.29,"2019-04-01","Flaska","","","USA","Hemingway Rum Company","House of Liquids","","43.00%","BS",FALSE,FALSE,"",101.6719
"175","56801","21955588","568","Havana Club Añejo","3 Años",249,700,355.71,"2019-06-01","Flaska","","","Kuba","Havana Club International","Pernod Ricard Sweden AB","","37.50%","FS",FALSE,FALSE,"",39.1281
"176","8547001","22371905","85470","WeiRon Black","Navy Strength",649,700,927.14,"2019-04-10","Flaska","","","Internationellt märke","Svenska Eldvatten","Svenska Eldvatten AB","","57.10%","BS",FALSE,FALSE,"",101.9854
"177","8055401","23129388","80554","Caroni","Navy Rum 18 Years",2598,700,3711.43,"2019-05-06","Flaska","","","Trinidad","Maison Clavelier","Clydesdale AB","","51.40%","BS",FALSE,FALSE,"",408.2573
"178","8794101","23129401","87941","Westerhall No.2","",549,700,784.29,"2019-05-06","Flaska","","","Grenada","Westerhall Rums UK","Clydesdale AB","","37.50%","BS",FALSE,FALSE,"",86.2719
"179","8733901","23129402","87339","Westerhall No.3","",568,700,811.43,"2019-05-06","Flaska","","","Grenada","Westerhall Rums UK","Clydesdale AB","","40.00%","BS",FALSE,FALSE,"",89.2573
"180","8744101","23129403","87441","Westerhall No.5","",628,700,897.14,"2019-05-06","Flaska","","","Grenada","Westerhall Rums UK","Clydesdale AB","","43.00%","BS",FALSE,FALSE,"",98.6854
"181","8706801","23129404","87068","Westerhall No.7","",678,700,968.57,"2019-05-06","Flaska","","","Grenada","Westerhall Rums UK","Clydesdale AB","","40.00%","BS",FALSE,FALSE,"",106.5427
"182","8710301","23129405","87103","Westerhall No.10","",747,700,1067.14,"2019-05-06","Flaska","","","Grenada","Westerhall Rums UK","Clydesdale AB","","40.00%","BS",FALSE,FALSE,"",117.3854
"183","8741301","23140476","87413","Rhum Bielle","",2708,700,3868.57,"2019-05-06","Flaska","","Guadeloupe","Frankrike","La Maison Du Whisky","Clydesdale AB","2001","45.00%","BS",FALSE,FALSE,"",425.5427
"184","8723401","23140477","87234","Enmore","22 Years",2181,700,3115.71,"2019-05-06","Flaska","","","Guyana","Bristol Spirits","Clydesdale AB","1988","43.00%","BS",FALSE,FALSE,"",342.7281
"185","8730901","23140478","87309","Enmore","Sherry Finish 30 Years",2986,700,4265.71,"2019-05-06","Flaska","","","Guyana","Bristol Spirits","Clydesdale AB","1988","46.50%","BS",FALSE,FALSE,"",469.2281
"186","8046301","23140479","80463","Port Morant","Demerara Rum",1036,700,1480,"2019-05-06","Flaska","","","Guyana","Bristol Spirits","Clydesdale AB","2008","43.00%","BS",FALSE,FALSE,"",162.8
"187","53201","2325996","532","El Dorado","8 Year Old",349,700,498.57,"2017-09-01","Flaska","","","Guyana","Demerara Distillers","Altia Sweden AB","","40.00%","BS",FALSE,FALSE,"Sugar Cane",54.8427
"188","467004","23359953","4670","Port Louiis","",99,200,495,"2019-09-02","Flaska","Skruvkapsyl","","Mauritius","House of Lords Beverages Limited","Galatea AB","","40.00%","FS",FALSE,FALSE,"",54.45
"189","4058401","24049743","40584","Foursquare","Patrimonio",1954,700,2791.43,"2019-08-29","Flaska","","","Barbados","Foursquare Distillery","Symposion AB","","58.00%","TSE",FALSE,FALSE,"",307.0573
"190","8182001","24349189","81820","Latino","Blend 5 Years",526,700,751.43,"2019-07-03","Flaska","","","Frankrike","Compagnie Des Indes","Symposion AB","","40.00%","BS",FALSE,FALSE,"",82.6573
"191","4061101","24385031","40611","Vale Royal 12 Years Old","VRW",1537,700,2195.71,"2019-08-29","Flaska","","","Jamaica","Long Pond","Symposion AB","","62.50%","TSE",FALSE,FALSE,"",241.5281
"192","4061601","24385949","40616","Long Pond 11 Years Old TECC","National Rums of Jamaica",1702,700,2431.43,"2019-09-19","Flaska","","","Jamaica","Long Pond","Symposion AB","","62.50%","TSE",FALSE,FALSE,"",267.4573
"193","4061701","24386354","40617","Velier Royal Navy","Tiger Shark",1925,700,2750,"2019-09-19","Flaska","","","Varierande ursprung","Habitation Velier","Symposion AB","","57.20%","TSE",FALSE,FALSE,"",302.5
"194","4061801","24386364","40618","Cambridge 13 Years Old STCE","National Rums of Jamaica",1771,700,2530,"2019-09-19","Flaska","","","Jamaica","Long Pond","Symposion AB","","62.50%","TSE",FALSE,FALSE,"",278.3
"195","8412401","24386418","84124","Ron Cubay","Añejo Suave",325,700,464.29,"2019-06-18","Flaska","","","Kuba","El Ron Cubano Handels","Herida Aurum AB","","37.50%","BS",FALSE,FALSE,"",51.0719
"196","8071801","24386488","80718","Ron Cubay","Carta Blanca 14 Years",1245,700,1778.57,"2019-06-17","Flaska","","","Kuba","El Ron Cubano Handels","Herida Aurum AB","","40.00%","BS",FALSE,FALSE,"",195.6427
"197","8010201","24386489","80102","Ron Cubay","Extra Añejo 18 years",1493,700,2132.86,"2019-06-19","Flaska","","","Kuba","El Ron Cubano Handels","Herida Aurum AB","","40.00%","BS",FALSE,FALSE,"",234.6146
"198","8250701","24386938","82507","Santiago de Cuba","20 Years",1420,700,2028.57,"2019-06-19","Flaska","","","Kuba","El Ron Cubano Handels","Herida Aurum AB","","40.00%","BS",FALSE,FALSE,"",223.1427
"199","4062701","24387029","40627","Ron Quorhum 30 Years Old","Anniversario Cask Strength",1089,700,1555.71,"2019-09-20","Flaska","","","Dominikanska Republiken","Oliver & Oliver","Cask Sweden AB","","50.00%","TSE",FALSE,FALSE,"",171.1281
"200","4064601","24397484","40646","Ron Zacapa","Reserva Limitada 2019",919,700,1312.86,"2019-10-18","Flaska","","","Guatemala","Añejos de Altura S.A.","Diageo Sweden AB","","45.00%","TSE",FALSE,FALSE,"Sugar Cane",144.4146
"201","8226801","24403111","82268","Barceló","Imperial Onyx",449,700,641.43,"2019-09-02","Flaska","","","Dominikanska Republiken","Ron Barcelò Srl","Hermansson & Co AB","","38.00%","FS",FALSE,TRUE,"",70.5573
"202","8142304","24403958","81423","25 Rums","The Original Rum Box",793,500,1586,"2019-09-09","25 fl à 20 ml","","","Varierande ursprung","1423 Aps","Herida Aurum AB","","41.40%","BS",FALSE,FALSE,"",174.46
"203","8185701","24403997","81857","The Flying Dutchman","Rum Ol 6 years",678,700,968.57,"2019-09-09","Flaska","","","Nederländerna","Zuidam Distillers BV","Clydesdale AB","","46.00%","BS",FALSE,FALSE,"",106.5427
"204","47901","24404597","479","J. Bally Rhum Ambré","",349,700,498.57,"2019-12-02","Flaska","","Martinique","Frankrike","Distillery Bally","Moestue Grape Selections AB","","45.00%","FS",FALSE,FALSE,"",54.8427
"205","8225201","24404940","82252","Diamond Guyana Rum","10 Years",1265,700,1807.14,"2019-09-16","Flaska","","","Guyana","Blackadder","Clydesdale AB","2008","56.00%","BS",FALSE,FALSE,"",198.7854
"206","8209901","24404941","82099","Fiji Rum","Raw Cask 9 Years",1276,700,1822.86,"2019-09-16","Flaska","","","Fiji","Blackadder","Clydesdale AB","2009","64.10%","BS",FALSE,FALSE,"",200.5146
"207","4065401","24405784","40654","Rum Agricola da Madeira 970","Single Cask Edition",959,700,1370,"2019-11-22","Flaska","","Madeira","Portugal","J. Faria & Filhos","AliasSmith AB","","49.90%","TSE",FALSE,FALSE,"",150.7
"208","4065601","24406115","40656","Worthy Park","Single Estate 12 Years Old",1249,700,1784.29,"2019-12-06","Flaska","","","Jamaica","Worthy Park Estate","Herida Aurum AB","","56.00%","TSE",FALSE,FALSE,"",196.2719
"209","8280101","24407063","82801","H.A.R.R.E.L","Skeppsholmen",602,700,860,"2019-09-23","Flaska","","","Varierande ursprung","H.A.R.R.E.L AB","H.A.R.R.E.L AB","","40.50%","BS",FALSE,FALSE,"",94.6
"210","4065901","24407551","40659","Ron Abuelo","Centuria",1340,700,1914.29,"2019-12-06","Flaska","","","Panama","Ron Abuelo Panama","Symposion AB","","40.00%","TSE",FALSE,FALSE,"",210.5719
"211","8141702","24408186","81417","H.A.R.R.E.L","Barbados 13 Years",737,500,1474,"2019-09-23","Flaska","","","Barbados","H.A.R.R.E.L AB","H.A.R.R.E.L AB","","49.00%","BS",FALSE,FALSE,"",162.14
"212","8324901","24409254","83249","JFS","Silk Råmm",337,700,481.43,"2019-11-25","Flaska","","","Sverige","Sweden Spirit Group AB","Sweden Spirit Group AB","","40.00%","BS",FALSE,FALSE,"",52.9573
"213","8134501","24409304","81345","Diplomático","Selección De Familia",625,700,892.86,"2019-11-27","Flaska","Korkpropp","","Venezuela","Destilerías Unidas","Handpicked Wines Sweden AB","","43.00%","FSB",FALSE,FALSE,"",98.2146
"214","8235001","24411074","82350","Havana Club","Pacto Navio",399,700,570,"2019-10-07","Flaska","","","Kuba","Havana Club International","Pernod Ricard Sweden AB","","40.00%","BS",FALSE,FALSE,"",62.7
"215","8176901","24412144","81769","WeiRon","Swedish Cask Finish 02",799,700,1141.43,"2019-10-16","Flaska","","","Sverige","Svenska Eldvatten","Svenska Eldvatten AB","","58.60%","BS",FALSE,FALSE,"",125.5573
"216","35501","24413962","355","Jaguara","Premium Dark Rum",449,700,641.43,"2020-03-02","Flaska","Syntetkork","","Guyana","Umida Partners AB","Umida Partners AB","","45.00%","FSN",FALSE,FALSE,"",70.5573
"217","4067201","24414009","40672","Cadenhead Guyana Uitvlugt","25 Years Old",2988,700,4268.57,"2020-01-30","Flaska","","","Guyana","William Cadenhead","Symposion AB","1993","51.20%","TSE",FALSE,FALSE,"",469.5427
"218","4068401","24414244","40684","Two Oaks","Ron Abuelo XII Años",598,700,854.29,"2020-03-27","Flaska","","","Panama","Ron Abuelo Panama","Symposion AB","","40.00%","TSE",FALSE,FALSE,"Sugar Cane",93.9719
"219","8276701","24415242","82767","Negrita","Spiced Golden",230,700,328.57,"2020-02-19","Flaska","","","Frankrike","Bardinet","Berntson Brands AB","","35.00%","BS",FALSE,FALSE,"",36.1427
"220","8141901","24415245","81419","Bumbu","XO",506,700,722.86,"2019-10-28","Flaska","","","Panama","Sovereign Brands","Mission Wine & Spirit AB","","40.00%","BS",FALSE,FALSE,"",79.5146
"221","8552001","24416009","85520","Tiki Lovers","White Rum",479,700,684.29,"2019-11-25","Flaska","","","Tyskland","The Bitter Truth","Barkonsult Jakobsson & Lövgren AB","","50.00%","BS",FALSE,FALSE,"",75.2719
"222","8302501","24416010","83025","Tiki Lovers","Dark Rum",479,700,684.29,"2019-10-28","Flaska","","","Tyskland","The Bitter Truth","Barkonsult Jakobsson & Lövgren AB","","57.00%","BS",FALSE,FALSE,"",75.2719
"223","8174102","24417499","81741","A-Bay Spirit","8 Years Bourbon Cask  Apelviken 8+",678,500,1356,"2019-11-04","Flaska","Korkpropp","","Panama","Ädel Smak by Per AB","Galatea AB","","46.00%","BS",FALSE,FALSE,"",149.16
"224","8585802","24418420","85858","Arruco V.S.O.P.","Caribbean Rum and VSOP Cognac",548,500,1096,"2019-11-06","Flaska","","","Frankrike","Destilerías y Distribuciones Líber S.L.","Arbore Ab","","40.00%","BS",FALSE,FALSE,"",120.56
"225","8152002","24418421","81520","Arruco XO","Caribbean Rum and XO Armagnac",797,500,1594,"2019-11-06","Flaska","","","Frankrike","Destilerías y Distribuciones Líber S.L.","Arbore Ab","","40.00%","BS",FALSE,FALSE,"",175.34
"226","8342001","24422865","83420","Tres Hombres","Edition 34 Republica Dominicana",817,700,1167.14,"2019-11-20","Flaska","","","Dominikanska Republiken","Fairtransport","Herida Aurum AB","2019","43.00%","BS",FALSE,FALSE,"",128.3854
"227","8262501","24422866","82625","Tres Hombres","Edition 31 Old Barbados",757,700,1081.43,"2019-11-20","Flaska","","","Barbados","Fairtransport","Herida Aurum AB","2019","43.00%","BS",FALSE,FALSE,"",118.9573
"228","8318901","24422867","83189","Tres Hombres","Edition 28 La Palma",698,700,997.14,"2019-11-20","Flaska","","Kanarieöarna","Spanien","Fairtransport","Herida Aurum AB","2019","43.00%","BS",FALSE,FALSE,"",109.6854
"229","8651201","24423284","86512","Esclavo XO"," Stauning Whisky Cask Finish",827,700,1181.43,"2019-11-20","Flaska","","","Dominikanska Republiken","1423 Aps","Herida Aurum AB","","46.00%","BS",FALSE,FALSE,"",129.9573
"230","8585201","24423286","85852","Esclavo","12 Years Speyside Whisky Cask Finish",628,700,897.14,"2019-11-20","Flaska","","","Dominikanska Republiken","1423 Aps","Herida Aurum AB","","46.00%","BS",FALSE,FALSE,"",98.6854
"231","8202601","24423302","82026","Esclavo","12 Years Stauning Whisky Cask Finish",628,700,897.14,"2019-11-20","Flaska","","","Dominikanska Republiken","1423 Aps","Herida Aurum AB","","46.00%","BS",FALSE,FALSE,"",98.6854
"232","8214902","24423321","82149","Ron Herrera","15 Years",598,500,1196,"2019-11-25","Flaska","Naturkork","","Panama","Auld Rare Whisky Sweden","Auld Rare Whisky Sweden AB","2002","43.00%","BS",FALSE,FALSE,"",131.56
"233","8656101","24423782","86561","Rhum JM","VSOP",598,700,854.29,"2020-03-30","Flaska","Kapsyl","Martinique","Frankrike","Rhum JM","Renbjer & Magnusson AB","","43.00%","BS",FALSE,FALSE,"",93.9719
"234","8143502","24424456","81435","Nordmarkens Rom","",727,500,1454,"2019-11-25","Flaska","","","Internationellt märke","Nordmarkens Destilleri","Nordmarkens Destilleri AB","","49.00%","BS",FALSE,FALSE,"",159.94
"235","8146002","24425812","81460","No Borders","New World Rum",474,500,948,"2019-12-02","Flaska","","","Varierande ursprung","Herida Aurum AB","Herida Aurum AB","","45.60%","BS",FALSE,FALSE,"",104.28
"236","52101","24427516","521","Cuerpo","Coconut",235,700,335.71,"2020-03-02","Flaska","","","Frankrike","Les Grands Chais de France","Apricot AB","","35.00%","FSN",FALSE,FALSE,"",36.9281
"237","8347601","24427853","83476","JFS Råmm","Limited",3735,700,5335.71,"2019-12-10","Flaska","","","Sverige","Sweden Spirit Group AB","Sweden Spirit Group AB","","40.00%","BS",FALSE,FALSE,"",586.9281
"238","1125401","24428171","11254","NO.1 Old Caribbean Exotic","",229,700,327.14,"2020-06-24","Flaska","","","Sverige","AB NO.1 Production","AB No.1 Production","","32.00%","TSV",FALSE,FALSE,"",35.9854
"239","8206301","24429981","82063","Kill Devil","Uitvlugt 17 Years",1315,700,1878.57,"2019-12-16","Flaska","","","Guyana","Edition Spirits","Clydesdale AB","1999","46.00%","BS",FALSE,FALSE,"",206.6427
"240","8345901","24429984","83459","Caroni","",2498,700,3568.57,"2019-12-16","Flaska","","","Trinidad","Bristol Spirits","Clydesdale AB","1997","56.40%","BS",FALSE,FALSE,"",392.5427
"241","8362401","24429985","83624","Caroni","Felicite Gold",1798,700,2568.57,"2019-12-16","Flaska","","","Trinidad","Bristol Spirits","Clydesdale AB","","40.00%","BS",FALSE,FALSE,"",282.5427
"242","8411801","24429986","84118","Caroni","Blended",1998,700,2854.29,"2019-12-16","Flaska","","","Trinidad","Bristol Spirits","Clydesdale AB","1999","43.00%","BS",FALSE,FALSE,"",313.9719
"243","8413201","24429987","84132","Port Morant","",1036,700,1480,"2019-12-16","Flaska","","","Guyana","Bristol Spirits","Clydesdale AB","2008","43.00%","BS",FALSE,FALSE,"",162.8
"244","4031301","24431617","40313","The Last Caroni 23 Years Old The Tasting Gang Heav","Velier",4176,700,5965.71,"2020-02-27","Flaska","","","Trinidad","Velier","Symposion AB","1996","63.50%","TSE",FALSE,FALSE,"",656.2281
"245","4030501","24431681","40305","The Last Caroni 23 Years HTR Blend Heavy Trinidad ","Velier",4476,700,6394.29,"2020-02-27","Flaska","","","Trinidad","Velier","Symposion AB","1996","61.90%","TSE",FALSE,FALSE,"",703.3719
"246","4030601","24431691","40306","Rum Nation","British Guyana 10 Years Old Cask Strenght",749,700,1070,"2020-02-28","Flaska","","","Guyana","Rossi & Rossi","Symposion AB","","56.40%","TSE",FALSE,FALSE,"",117.7
"247","8499001","24432287","84990","Mount Gay","1703 Master Selection",2129,700,3041.43,"2020-01-15","Flaska","","","Barbados","CSL Remy Cointreau","Nigab","","43.00%","BS",FALSE,FALSE,"",334.5573
"248","8026101","24432288","80261","Mount Gay","Pure Pot Still",1899,700,2712.86,"2020-01-15","Flaska","","","Barbados","CSL Remy Cointreau","Nigab","","48.00%","BS",FALSE,FALSE,"",298.4146
"249","8281401","24433578","82814","Diplomatico","Planas",429,700,612.86,"2020-02-03","Flaska","Korkpropp","","Venezuela","Destilerías Unidas","Handpicked Wines Sweden AB","","47.00%","BS",FALSE,FALSE,"",67.4146
"250","8552901","24433582","85529","Plantation","O.F.T.D",499,700,712.86,"2019-12-30","Flaska","","","Jamaica","Maison Ferrand","Spendrups Bryggeri AB","","69.00%","BS",FALSE,FALSE,"",78.4146
"251","8141201","24442376","81412","XM Royal","10 Years",656,700,937.14,"2020-02-19","Flaska","","","Guyana","Banks DIH Ltd / La Maison du Whisky","Clydesdale AB","","40.00%","BS",FALSE,FALSE,"",103.0854
"252","8170401","24442377","81704","XM Special","12 Years",728,700,1040,"2020-02-19","Flaska","","","Guyana","Banks DIH Ltd / La Maison du Whisky","Clydesdale AB","","40.00%","BS",FALSE,FALSE,"",114.4
"253","8365601","24442378","83656","Trois Rivieres","Rhum Ambre",525,700,750,"2020-02-19","Flaska","","Martinique","Frankrike","Trois Rivières","Clydesdale AB","","40.00%","BS",FALSE,FALSE,"",82.5
"254","8175601","24442379","81756","XM Supreme","15 Years",847,700,1210,"2020-02-19","Flaska","","","Guyana","Banks DIH Ltd / La Maison du Whisky","Clydesdale AB","","40.00%","BS",FALSE,FALSE,"",133.1
